2025-09-02 23:03:58 install proj-bin:amd64 <none> 9.4.0-1build2
2025-09-02 23:03:58 status half-installed proj-bin:amd64 9.4.0-1build2
2025-09-02 23:03:58 status unpacked proj-bin:amd64 9.4.0-1build2
2025-09-02 23:03:58 startup packages configure
2025-09-02 23:03:58 configure libtbbmalloc2:amd64 2021.11.0-2ubuntu2 <none>
2025-09-02 23:03:58 status unpacked libtbbmalloc2:amd64 2021.11.0-2ubuntu2
2025-09-02 23:03:58 status half-configured libtbbmalloc2:amd64 2021.11.0-2ubuntu2
2025-09-02 23:03:58 status installed libtbbmalloc2:amd64 2021.11.0-2ubuntu2
2025-09-02 23:03:58 configure liblog4cplus-2.0.5t64:amd64 2.0.8-1.1ubuntu3 <none>
2025-09-02 23:03:58 status unpacked liblog4cplus-2.0.5t64:amd64 2.0.8-1.1ubuntu3
2025-09-02 23:03:58 status half-configured liblog4cplus-2.0.5t64:amd64 2.0.8-1.1ubuntu3
2025-09-02 23:03:58 status installed liblog4cplus-2.0.5t64:amd64 2.0.8-1.1ubuntu3
2025-09-02 23:03:58 configure mysql-common:all 5.8+1.1.0build1 <none>
2025-09-02 23:03:58 status unpacked mysql-common:all 5.8+1.1.0build1
2025-09-02 23:03:58 status half-configured mysql-common:all 5.8+1.1.0build1
2025-09-02 23:03:58 status installed mysql-common:all 5.8+1.1.0build1
2025-09-02 23:03:58 configure fonts-dejavu:all 2.37-8 <none>
2025-09-02 23:03:58 status unpacked fonts-dejavu:all 2.37-8
2025-09-02 23:03:58 status half-configured fonts-dejavu:all 2.37-8
2025-09-02 23:03:58 status installed fonts-dejavu:all 2.37-8
2025-09-02 23:03:58 configure libmysqlclient21:amd64 8.0.43-0ubuntu0.24.04.1 <none>
2025-09-02 23:03:58 status unpacked libmysqlclient21:amd64 8.0.43-0ubuntu0.24.04.1
2025-09-02 23:03:58 status half-configured libmysqlclient21:amd64 8.0.43-0ubuntu0.24.04.1
2025-09-02 23:03:58 status installed libmysqlclient21:amd64 8.0.43-0ubuntu0.24.04.1
2025-09-02 23:03:58 configure libarpack2t64:amd64 3.9.1-1.1build2 <none>
2025-09-02 23:03:58 status unpacked libarpack2t64:amd64 3.9.1-1.1build2
2025-09-02 23:03:58 status half-configured libarpack2t64:amd64 3.9.1-1.1build2
2025-09-02 23:03:58 status installed libarpack2t64:amd64 3.9.1-1.1build2
2025-09-02 23:03:58 configure proj-data:all 9.4.0-1build2 <none>
2025-09-02 23:03:58 status unpacked proj-data:all 9.4.0-1build2
2025-09-02 23:03:58 status half-configured proj-data:all 9.4.0-1build2
2025-09-02 23:03:58 status installed proj-data:all 9.4.0-1build2
2025-09-02 23:03:58 configure libproj25:amd64 9.4.0-1build2 <none>
2025-09-02 23:03:58 status unpacked libproj25:amd64 9.4.0-1build2
2025-09-02 23:03:58 status half-configured libproj25:amd64 9.4.0-1build2
2025-09-02 23:03:58 status installed libproj25:amd64 9.4.0-1build2
2025-09-02 23:03:58 configure libogdi4.1:amd64 4.1.1+ds-3build1 <none>
2025-09-02 23:03:58 status unpacked libogdi4.1:amd64 4.1.1+ds-3build1
2025-09-02 23:03:58 status half-configured libogdi4.1:amd64 4.1.1+ds-3build1
2025-09-02 23:03:58 status installed libogdi4.1:amd64 4.1.1+ds-3build1
2025-09-02 23:03:58 configure libcharls2:amd64 2.4.2-2build2 <none>
2025-09-02 23:03:58 status unpacked libcharls2:amd64 2.4.2-2build2
2025-09-02 23:03:58 status half-configured libcharls2:amd64 2.4.2-2build2
2025-09-02 23:03:58 status installed libcharls2:amd64 2.4.2-2build2
2025-09-02 23:03:58 configure libgeos3.12.1t64:amd64 3.12.1-3build1 <none>
2025-09-02 23:03:58 status unpacked libgeos3.12.1t64:amd64 3.12.1-3build1
2025-09-02 23:03:58 status half-configured libgeos3.12.1t64:amd64 3.12.1-3build1
2025-09-02 23:03:58 status installed libgeos3.12.1t64:amd64 3.12.1-3build1
2025-09-02 23:03:58 configure libdcmtk17t64:amd64 3.6.7-9.1build4 <none>
2025-09-02 23:03:58 status unpacked libdcmtk17t64:amd64 3.6.7-9.1build4
2025-09-02 23:03:58 status half-configured libdcmtk17t64:amd64 3.6.7-9.1build4
2025-09-02 23:03:58 status installed libdcmtk17t64:amd64 3.6.7-9.1build4
2025-09-02 23:03:58 configure libgeos-c1t64:amd64 3.12.1-3build1 <none>
2025-09-02 23:03:58 status unpacked libgeos-c1t64:amd64 3.12.1-3build1
2025-09-02 23:03:58 status half-configured libgeos-c1t64:amd64 3.12.1-3build1
2025-09-02 23:03:58 status installed libgeos-c1t64:amd64 3.12.1-3build1
2025-09-02 23:03:58 configure libyaml-cpp0.8:amd64 0.8.0+dfsg-6build1 <none>
2025-09-02 23:03:58 status unpacked libyaml-cpp0.8:amd64 0.8.0+dfsg-6build1
2025-09-02 23:03:58 status half-configured libyaml-cpp0.8:amd64 0.8.0+dfsg-6build1
2025-09-02 23:03:58 status installed libyaml-cpp0.8:amd64 0.8.0+dfsg-6build1
2025-09-02 23:03:58 configure libpq5:amd64 16.9-0ubuntu0.24.04.1 <none>
2025-09-02 23:03:58 status unpacked libpq5:amd64 16.9-0ubuntu0.24.04.1
2025-09-02 23:03:58 status half-configured libpq5:amd64 16.9-0ubuntu0.24.04.1
2025-09-02 23:03:58 status installed libpq5:amd64 16.9-0ubuntu0.24.04.1
2025-09-02 23:03:58 configure proj-bin:amd64 9.4.0-1build2 <none>
2025-09-02 23:03:58 status unpacked proj-bin:amd64 9.4.0-1build2
2025-09-02 23:03:58 status half-configured proj-bin:amd64 9.4.0-1build2
2025-09-02 23:03:58 status installed proj-bin:amd64 9.4.0-1build2
2025-09-02 23:03:58 configure libjemalloc2:amd64 5.3.0-2build1 <none>
2025-09-02 23:03:58 status unpacked libjemalloc2:amd64 5.3.0-2build1
2025-09-02 23:03:58 status half-configured libjemalloc2:amd64 5.3.0-2build1
2025-09-02 23:03:58 status installed libjemalloc2:amd64 5.3.0-2build1
2025-09-02 23:03:58 configure libsuperlu6:amd64 6.0.1+dfsg1-1build1 <none>
2025-09-02 23:03:58 status unpacked libsuperlu6:amd64 6.0.1+dfsg1-1build1
2025-09-02 23:03:58 status half-configured libsuperlu6:amd64 6.0.1+dfsg1-1build1
2025-09-02 23:03:58 status installed libsuperlu6:amd64 6.0.1+dfsg1-1build1
2025-09-02 23:03:58 configure libxerces-c3.2t64:amd64 3.2.4+debian-1.2ubuntu2 <none>
2025-09-02 23:03:58 status unpacked libxerces-c3.2t64:amd64 3.2.4+debian-1.2ubuntu2
2025-09-02 23:03:58 status half-configured libxerces-c3.2t64:amd64 3.2.4+debian-1.2ubuntu2
2025-09-02 23:03:58 status installed libxerces-c3.2t64:amd64 3.2.4+debian-1.2ubuntu2
2025-09-02 23:03:58 configure libaec0:amd64 1.1.2-1build1 <none>
2025-09-02 23:03:58 status unpacked libaec0:amd64 1.1.2-1build1
2025-09-02 23:03:58 status half-configured libaec0:amd64 1.1.2-1build1
2025-09-02 23:03:58 status installed libaec0:amd64 1.1.2-1build1
2025-09-02 23:03:58 configure gdal-data:all 3.8.4+dfsg-3ubuntu3 <none>
2025-09-02 23:03:58 status unpacked gdal-data:all 3.8.4+dfsg-3ubuntu3
2025-09-02 23:03:58 status half-configured gdal-data:all 3.8.4+dfsg-3ubuntu3
2025-09-02 23:03:58 status installed gdal-data:all 3.8.4+dfsg-3ubuntu3
2025-09-02 23:03:58 configure libgeotiff5:amd64 1.7.1-5build1 <none>
2025-09-02 23:03:58 status unpacked libgeotiff5:amd64 1.7.1-5build1
2025-09-02 23:03:58 status half-configured libgeotiff5:amd64 1.7.1-5build1
2025-09-02 23:03:58 status installed libgeotiff5:amd64 1.7.1-5build1
2025-09-02 23:03:58 configure libcfitsio10t64:amd64 4.3.1-1.1build2 <none>
2025-09-02 23:03:58 status unpacked libcfitsio10t64:amd64 4.3.1-1.1build2
2025-09-02 23:03:58 status half-configured libcfitsio10t64:amd64 4.3.1-1.1build2
2025-09-02 23:03:58 status installed libcfitsio10t64:amd64 4.3.1-1.1build2
2025-09-02 23:03:58 configure libhwloc15:amd64 2.10.0-1build1 <none>
2025-09-02 23:03:58 status unpacked libhwloc15:amd64 2.10.0-1build1
2025-09-02 23:03:58 status half-configured libhwloc15:amd64 2.10.0-1build1
2025-09-02 23:03:58 status installed libhwloc15:amd64 2.10.0-1build1
2025-09-02 23:03:58 configure unixodbc-common:all 2.3.12-1ubuntu0.24.04.1 <none>
